"Label (Grouping)","Occupied housing units","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino","Occupied housing units!!AGE OF HOUSEHOLDER","Occupied housing units!!AGE OF HOUSEHOLDER!!Under 35 years","Occupied housing units!!AGE OF HOUSEHOLDER!!35 to 44 years","Occupied housing units!!AGE OF HOUSEHOLDER!!45 to 54 years","Occupied housing units!!AGE OF HOUSEHOLDER!!55 to 64 years","Occupied housing units!!AGE OF HOUSEHOLDER!!65 to 74 years","Occupied housing units!!AGE OF HOUSEHOLDER!!75 to 84 years","Occupied housing units!!AGE OF HOUSEHOLDER!!85 years and over","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2017 or later","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2015 to 2016","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 to 2014","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1989 or earlier"
"        Margin of Error","±1,938","","","±1,903","±438","±546","±321","±62","±354","±502","±525","±1,874","","±1,345","±864","±807","±839","±627","±694","±590","","±925","±1,490","±1,962","±2,000","","±1,366","±1,483","±1,824","±1,554","±1,252","±1,044"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","344,397","","","89.8%","1.6%","5.3%","1.1%","0.0%","0.7%","1.5%","2.7%","88.2%","","22.7%","15.6%","16.3%","19.5%","14.4%","7.6%","3.8%","","6.8%","28.7%","34.3%","30.1%","","10.7%","15.9%","24.9%","23.7%","12.2%","12.7%"
"        Margin of Error","±1,938","","","±0.3","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","","±0.3","±0.2","±0.2","±0.3","±0.2","±0.2","±0.2","","±0.3","±0.4","±0.5","±0.5","","±0.4","±0.4","±0.5","±0.4","±0.3","±0.3"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","233,607","","","221,185","1,050","6,977","1,324","22","771","2,278","3,564","218,779","","33,333","36,998","41,766","54,071","40,794","19,633","7,012","","11,273","64,700","78,612","79,022","","12,689","23,434","50,650","68,049","37,971","40,814"
"        Margin of Error","±2,021","","","±1,841","±264","±392","±189","±25","±160","±314","±353","±1,812","","±1,020","±841","±870","±814","±610","±567","±459","","±593","±1,271","±1,590","±1,710","","±735","±998","±1,405","±1,364","±1,205","±1,003"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","233,607","","","94.7%","0.4%","3.0%","0.6%","0.0%","0.3%","1.0%","1.5%","93.7%","","14.3%","15.8%","17.9%","23.1%","17.5%","8.4%","3.0%","","4.8%","27.7%","33.7%","33.8%","","5.4%","10.0%","21.7%","29.1%","16.3%","17.5%"
"        Margin of Error","±2,021","","","±0.3","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","","±0.4","±0.3","±0.3","±0.3","±0.3","±0.2","±0.2","","±0.2","±0.5","±0.6","±0.6","","±0.3","±0.4","±0.6","±0.6","±0.5","±0.4"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","110,790","","","88,251","4,431","11,213","2,510","119","1,528","2,738","5,655","84,853","","44,872","16,837","14,412","13,127","8,910","6,454","6,178","","12,256","34,288","39,554","24,692","","24,250","31,320","35,001","13,423","3,954","2,842"
"        Margin of Error","±1,389","","","±1,391","±477","±519","±343","±56","±325","±405","±481","±1,336","","±1,357","±822","±685","±755","±537","±535","±432","","±733","±1,013","±1,122","±979","","±1,234","±1,136","±1,239","±749","±363","±322"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","110,790","","","79.7%","4.0%","10.1%","2.3%","0.1%","1.4%","2.5%","5.1%","76.6%","","40.5%","15.2%","13.0%","11.8%","8.0%","5.8%","5.6%","","11.1%","30.9%","35.7%","22.3%","","21.9%","28.3%","31.6%","12.1%","3.6%","2.6%"
"        Margin of Error","±1,389","","","±0.7","±0.4","±0.5","±0.3","±0.1","±0.3","±0.4","±0.4","±0.7","","±1.0","±0.7","±0.6","±0.7","±0.5","±0.5","±0.4","","±0.7","±0.8","±0.9","±0.8","","±1.0","±0.9","±1.1","±0.6","±0.3","±0.3"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,597,292","","","2,071,698","422,149","7,813","35,975","1,132","22,936","35,589","93,264","2,004,934","","511,044","426,928","482,128","504,100","398,906","202,005","72,181","","292,415","764,314","776,195","764,368","","285,973","402,039","623,279","617,701","330,011","338,289"
"        Margin of Error","±6,331","","","±5,300","±2,874","±673","±904","±235","±1,084","±1,395","±1,356","±5,231","","±3,886","±2,668","±2,772","±2,432","±2,449","±1,981","±1,624","","±3,579","±5,325","±5,334","±7,564","","±3,863","±4,032","±5,620","±5,496","±4,035","±3,448"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,597,292","","","79.8%","16.3%","0.3%","1.4%","0.0%","0.9%","1.4%","3.6%","77.2%","","19.7%","16.4%","18.6%","19.4%","15.4%","7.8%","2.8%","","11.3%","29.4%","29.9%","29.4%","","11.0%","15.5%","24.0%","23.8%","12.7%","13.0%"
"        Margin of Error","±6,331","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.2","±0.2","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,722,247","","","1,487,715","181,642","4,102","21,258","300","8,553","18,677","38,418","1,459,610","","183,777","258,096","342,242","385,338","328,066","169,409","55,319","","161,045","488,434","498,997","573,771","","100,645","158,356","323,804","514,961","304,630","319,851"
"        Margin of Error","±10,007","","","±8,065","±2,528","±495","±815","±106","±647","±1,029","±1,363","±7,588","","±3,252","±2,956","±3,559","±2,805","±2,297","±1,943","±1,411","","±2,565","±4,582","±4,824","±6,885","","±2,456","±2,713","±4,459","±5,310","±3,826","±3,201"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,722,247","","","86.4%","10.5%","0.2%","1.2%","0.0%","0.5%","1.1%","2.2%","84.8%","","10.7%","15.0%","19.9%","22.4%","19.0%","9.8%","3.2%","","9.4%","28.4%","29.0%","33.3%","","5.8%","9.2%","18.8%","29.9%","17.7%","18.6%"
"        Margin of Error","±10,007","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.2","±0.3","","±0.1","±0.1","±0.2","±0.2","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","875,045","","","583,983","240,507","3,711","14,717","832","14,383","16,912","54,846","545,324","","327,267","168,832","139,886","118,762","70,840","32,596","16,862","","131,370","275,880","277,198","190,597","","185,328","243,683","299,475","102,740","25,381","18,438"
"        Margin of Error","±6,452","","","±5,346","±3,591","±469","±877","±208","±921","±996","±1,209","±4,983","","±3,731","±3,038","±2,745","±2,220","±1,537","±1,096","±840","","±2,771","±4,059","±3,749","±2,990","","±3,491","±3,386","±4,104","±2,417","±1,120","±905"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","875,045","","","66.7%","27.5%","0.4%","1.7%","0.1%","1.6%","1.9%","6.3%","62.3%","","37.4%","19.3%","16.0%","13.6%","8.1%","3.7%","1.9%","","15.0%","31.5%","31.7%","21.8%","","21.2%","27.8%","34.2%","11.7%","2.9%","2.1%"
"        Margin of Error","±6,452","","","±0.4","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.4","","±0.3","±0.3","±0.3","±0.2","±0.2","±0.1","±0.1","","±0.3","±0.4","±0.4","±0.3","","±0.3","±0.3","±0.4","±0.3","±0.1","±0.1"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,691,647","","","7,319,922","1,240,150","48,391","428,601","7,055","464,445","183,083","3,054,709","4,823,649","","2,128,494","1,905,710","1,865,909","1,749,532","1,215,144","606,586","220,272","","1,367,998","2,128,133","2,993,566","3,201,950","","1,210,603","1,689,122","2,499,193","2,323,502","1,030,851","938,376"
"        Margin of Error","±18,858","","","±14,912","±5,076","±1,486","±3,313","±544","±5,463","±3,956","±8,426","±9,993","","±9,678","±7,162","±7,004","±6,034","±4,728","±4,125","±2,849","","±10,427","±11,677","±12,716","±23,238","","±9,185","±8,485","±10,780","±13,161","±7,366","±6,575"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,691,647","","","75.5%","12.8%","0.5%","4.4%","0.1%","4.8%","1.9%","31.5%","49.8%","","22.0%","19.7%","19.3%","18.1%","12.5%","6.3%","2.3%","","14.1%","22.0%","30.9%","33.0%","","12.5%","17.4%","25.8%","24.0%","10.6%","9.7%"
"        Margin of Error","±18,858","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,004,802","","","4,857,716","504,350","28,729","269,489","3,066","244,371","97,081","1,749,876","3,399,794","","666,571","1,104,600","1,288,170","1,322,557","975,498","490,951","156,455","","757,220","1,223,221","1,776,199","2,248,162","","351,102","589,347","1,281,487","1,939,316","953,779","889,771"
"        Margin of Error","±29,081","","","±20,953","±4,967","±1,302","±3,192","±469","±4,433","±2,750","±12,100","±13,372","","±8,787","±9,311","±8,550","±6,979","±4,576","±3,585","±2,327","","±6,282","±6,823","±12,068","±20,900","","±5,060","±5,926","±10,389","±13,399","±7,008","±6,657"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,004,802","","","80.9%","8.4%","0.5%","4.5%","0.1%","4.1%","1.6%","29.1%","56.6%","","11.1%","18.4%","21.5%","22.0%","16.2%","8.2%","2.6%","","12.6%","20.4%","29.6%","37.4%","","5.8%","9.8%","21.3%","32.3%","15.9%","14.8%"
"        Margin of Error","±29,081","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,686,845","","","2,462,206","735,800","19,662","159,112","3,989","220,074","86,002","1,304,833","1,423,855","","1,461,923","801,110","577,739","426,975","239,646","115,635","63,817","","610,778","904,912","1,217,367","953,788","","859,501","1,099,775","1,217,706","384,186","77,072","48,605"
"        Margin of Error","±15,225","","","±12,380","±6,053","±1,102","±3,043","±446","±4,350","±2,516","±8,881","±7,740","","±8,067","±8,359","±6,455","±5,227","±3,305","±2,483","±1,580","","±8,063","±9,879","±8,196","±7,466","","±7,907","±8,852","±8,057","±5,094","±1,924","±1,620"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,686,845","","","66.8%","20.0%","0.5%","4.3%","0.1%","6.0%","2.3%","35.4%","38.6%","","39.7%","21.7%","15.7%","11.6%","6.5%","3.1%","1.7%","","16.6%","24.5%","33.0%","25.9%","","23.3%","29.8%","33.0%","10.4%","2.1%","1.3%"
"        Margin of Error","±15,225","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","977,313","","","874,547","9,616","9,116","22,262","6,412","37,703","17,657","106,021","811,581","","244,364","207,203","163,191","161,036","116,690","60,838","23,991","","61,746","192,591","366,011","356,965","","124,696","172,482","241,723","230,324","105,919","102,169"
"        Margin of Error","±2,381","","","±2,778","±494","±622","±741","±456","±1,377","±998","±1,405","±2,450","","±2,079","±1,771","±1,324","±1,268","±1,078","±1,120","±818","","±1,931","±2,961","±3,378","±4,035","","±2,270","±2,752","±2,293","±2,647","±1,950","±1,278"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","977,313","","","89.5%","1.0%","0.9%","2.3%","0.7%","3.9%","1.8%","10.8%","83.0%","","25.0%","21.2%","16.7%","16.5%","11.9%","6.2%","2.5%","","6.3%","19.7%","37.5%","36.5%","","12.8%","17.6%","24.7%","23.6%","10.8%","10.5%"
"        Margin of Error","±2,381","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.4","","±0.2","±0.3","±0.2","±0.3","±0.2","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","685,699","","","634,296","2,782","4,772","13,331","2,733","18,179","9,606","55,468","600,100","","106,090","148,597","126,031","133,009","101,161","52,425","18,386","","32,622","125,235","247,724","280,118","","49,990","83,007","149,890","203,597","100,672","98,543"
"        Margin of Error","±4,025","","","±3,866","±298","±379","±712","±342","±967","±679","±1,389","±3,598","","±1,923","±1,850","±1,459","±1,220","±1,034","±1,071","±705","","±1,208","±2,261","±2,710","±3,543","","±1,668","±1,835","±2,001","±2,564","±1,851","±1,234"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","685,699","","","92.5%","0.4%","0.7%","1.9%","0.4%","2.7%","1.4%","8.1%","87.5%","","15.5%","21.7%","18.4%","19.4%","14.8%","7.6%","2.7%","","4.8%","18.3%","36.1%","40.9%","","7.3%","12.1%","21.9%","29.7%","14.7%","14.4%"
"        Margin of Error","±4,025","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","","±0.2","±0.3","±0.4","±0.4","","±0.2","±0.3","±0.3","±0.3","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","291,614","","","240,251","6,834","4,344","8,931","3,679","19,524","8,051","50,553","211,481","","138,274","58,606","37,160","28,027","15,529","8,413","5,605","","29,124","67,356","118,287","76,847","","74,706","89,475","91,833","26,727","5,247","3,626"
"        Margin of Error","±3,168","","","±2,933","±496","±489","±572","±410","±1,105","±737","±1,419","±2,570","","±1,971","±1,667","±1,235","±1,258","±849","±633","±511","","±1,482","±2,071","±2,113","±1,930","","±1,892","±2,205","±1,836","±1,135","±476","±393"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","291,614","","","82.4%","2.3%","1.5%","3.1%","1.3%","6.7%","2.8%","17.3%","72.5%","","47.4%","20.1%","12.7%","9.6%","5.3%","2.9%","1.9%","","10.0%","23.1%","40.6%","26.4%","","25.6%","30.7%","31.5%","9.2%","1.8%","1.2%"
"        Margin of Error","±3,168","","","±0.5","±0.2","±0.2","±0.2","±0.1","±0.4","±0.3","±0.4","±0.5","","±0.5","±0.5","±0.4","±0.4","±0.3","±0.2","±0.2","","±0.5","±0.6","±0.7","±0.6","","±0.6","±0.7","±0.6","±0.4","±0.2","±0.1"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","260,029","","","249,247","2,450","954","3,010","155","547","3,666","3,598","246,443","","43,915","36,673","47,335","57,024","44,697","21,167","9,218","","16,340","66,848","72,775","104,066","","22,810","34,061","55,989","63,492","37,393","46,284"
"        Margin of Error","±1,329","","","±1,283","±268","±176","±310","±81","±121","±299","±246","±1,250","","±961","±609","±580","±629","±566","±536","±455","","±701","±1,182","±1,364","±1,692","","±891","±1,114","±1,162","±1,215","±1,017","±955"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","260,029","","","95.9%","0.9%","0.4%","1.2%","0.1%","0.2%","1.4%","1.4%","94.8%","","16.9%","14.1%","18.2%","21.9%","17.2%","8.1%","3.5%","","6.3%","25.7%","28.0%","40.0%","","8.8%","13.1%","21.5%","24.4%","14.4%","17.8%"
"        Margin of Error","±1,329","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.3","±0.2","±0.2","±0.2","±0.2","±0.2","±0.2","","±0.3","±0.4","±0.5","±0.6","","±0.3","±0.4","±0.4","±0.4","±0.4","±0.4"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","183,999","","","178,806","597","581","1,603","90","270","2,052","1,608","177,500","","16,162","24,436","36,805","46,543","37,246","16,660","6,147","","8,850","45,204","49,461","80,484","","8,163","14,131","30,129","52,659","34,520","44,397"
"        Margin of Error","±1,916","","","±1,847","±159","±121","±208","±58","±87","±264","±211","±1,862","","±761","±745","±726","±749","±580","±449","±395","","±455","±1,174","±1,211","±1,470","","±554","±754","±1,059","±1,143","±940","±991"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","183,999","","","97.2%","0.3%","0.3%","0.9%","0.0%","0.1%","1.1%","0.9%","96.5%","","8.8%","13.3%","20.0%","25.3%","20.2%","9.1%","3.3%","","4.8%","24.6%","26.9%","43.7%","","4.4%","7.7%","16.4%","28.6%","18.8%","24.1%"
"        Margin of Error","±1,916","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.4","±0.4","±0.3","±0.4","±0.3","±0.2","±0.2","","±0.2","±0.6","±0.6","±0.6","","±0.3","±0.4","±0.5","±0.5","±0.5","±0.6"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","76,030","","","70,441","1,853","373","1,407","65","277","1,614","1,990","68,943","","27,753","12,237","10,530","10,481","7,451","4,507","3,071","","7,490","21,644","23,314","23,582","","14,647","19,930","25,860","10,833","2,873","1,887"
"        Margin of Error","±1,442","","","±1,437","±251","±126","±247","±62","±106","±222","±248","±1,468","","±801","±682","±732","±623","±448","±419","±317","","±614","±922","±1,051","±885","","±726","±857","±983","±716","±329","±303"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","76,030","","","92.6%","2.4%","0.5%","1.9%","0.1%","0.4%","2.1%","2.6%","90.7%","","36.5%","16.1%","13.8%","13.8%","9.8%","5.9%","4.0%","","9.9%","28.5%","30.7%","31.0%","","19.3%","26.2%","34.0%","14.2%","3.8%","2.5%"
"        Margin of Error","±1,442","","","±0.5","±0.3","±0.2","±0.3","±0.1","±0.1","±0.3","±0.3","±0.6","","±1.1","±0.8","±0.9","±0.7","±0.6","±0.5","±0.4","","±0.8","±0.9","±1.3","±1.1","","±0.9","±1.0","±1.1","±0.9","±0.4","±0.4"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,151,045","","","2,255,668","590,176","8,621","168,700","1,841","55,426","70,613","204,880","2,124,497","","586,717","554,100","615,630","617,610","453,182","231,189","92,617","","278,321","661,985","887,300","1,323,439","","343,974","479,924","732,041","776,063","399,175","419,868"
"        Margin of Error","±7,497","","","±5,977","±3,129","±580","±1,851","±292","±1,756","±1,955","±2,175","±5,077","","±3,913","±2,980","±2,942","±2,952","±2,353","±2,399","±1,773","","±4,247","±5,294","±5,749","±10,334","","±4,754","±5,068","±5,642","±5,947","±3,784","±3,456"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,151,045","","","71.6%","18.7%","0.3%","5.4%","0.1%","1.8%","2.2%","6.5%","67.4%","","18.6%","17.6%","19.5%","19.6%","14.4%","7.3%","2.9%","","8.8%","21.0%","28.2%","42.0%","","10.9%","15.2%","23.2%","24.6%","12.7%","13.3%"
"        Margin of Error","±7,497","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,087,711","","","1,624,952","282,251","5,157","113,367","989","24,239","36,756","100,879","1,556,644","","202,281","332,162","442,424","479,657","374,177","190,015","66,995","","149,452","414,338","559,113","964,808","","113,000","179,836","384,299","647,309","366,453","396,814"
"        Margin of Error","±12,137","","","±8,448","±3,401","±453","±1,565","±231","±1,172","±1,438","±2,245","±7,249","","±3,328","±3,987","±3,679","±3,386","±2,340","±2,058","±1,695","","±2,557","±3,855","±4,959","±9,569","","±2,036","±3,039","±5,125","±5,827","±3,559","±3,450"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,087,711","","","77.8%","13.5%","0.2%","5.4%","0.0%","1.2%","1.8%","4.8%","74.6%","","9.7%","15.9%","21.2%","23.0%","17.9%","9.1%","3.2%","","7.2%","19.8%","26.8%","46.2%","","5.4%","8.6%","18.4%","31.0%","17.6%","19.0%"
"        Margin of Error","±12,137","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.1","±0.1","±0.2","±0.2","±0.1","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,063,334","","","630,716","307,925","3,464","55,333","852","31,187","33,857","104,001","567,853","","384,436","221,938","173,206","137,953","79,005","41,174","25,622","","128,869","247,647","328,187","358,631","","230,974","300,088","347,742","128,754","32,722","23,054"
"        Margin of Error","±7,563","","","±5,484","±3,591","±425","±1,513","±198","±1,429","±1,410","±1,911","±5,042","","±3,603","±3,607","±2,966","±2,610","±1,687","±1,364","±1,029","","±3,122","±4,406","±4,281","±3,550","","±4,412","±4,557","±3,691","±2,585","±1,115","±829"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,063,334","","","59.3%","29.0%","0.3%","5.2%","0.1%","2.9%","3.2%","9.8%","53.4%","","36.2%","20.9%","16.3%","13.0%","7.4%","3.9%","2.4%","","12.1%","23.3%","30.9%","33.7%","","21.7%","28.2%","32.7%","12.1%","3.1%","2.2%"
"        Margin of Error","±7,563","","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.3","±0.3","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.3","±0.3","±0.4","±0.3","","±0.4","±0.4","±0.3","±0.2","±0.1","±0.1"
"Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,848,396","","","2,289,370","101,897","32,351","218,988","13,655","87,171","104,964","242,557","2,153,054","","607,174","500,335","510,976","543,116","408,764","194,013","84,018","","198,386","543,795","1,003,037","1,103,178","","354,265","498,688","712,485","681,151","326,449","275,358"
"        Margin of Error","±5,857","","","±5,681","±1,659","±1,012","±2,066","±650","±2,256","±2,310","±2,261","±5,216","","±4,032","±2,920","±2,677","±2,589","±2,335","±2,367","±1,618","","±3,232","±6,139","±6,676","±7,796","","±4,121","±5,485","±5,438","±5,143","±3,264","±2,704"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,848,396","","","80.4%","3.6%","1.1%","7.7%","0.5%","3.1%","3.7%","8.5%","75.6%","","21.3%","17.6%","17.9%","19.1%","14.4%","6.8%","2.9%","","7.0%","19.1%","35.2%","38.7%","","12.4%","17.5%","25.0%","23.9%","11.5%","9.7%"
"        Margin of Error","±5,857","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.2","±0.2","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
